Code;Désignation;Unité;Prix;Depot Antanankoro;Depot Stock C;Magasin Mahambolona;Total
10013600;BISCUIT ROCKERS SPARK HITRICK;BOCAL;16.000;0;0;0;0
10013601;BISCUIT ROCKERS SPARK HITRICK;CARTON;256.000;0;0;0;0
10013700;Biscuit Ronaldo;PIECE;1.400;0;0;0;0
10013701;Biscuit Ronaldo;CARTON;33.600;0;0;0;0
20013800;BISCUIT SAIDA WAFER;PIECE;1.600;0;0;0;0
20013900;BISCUIT SAIDA WAFERZ;CARTON;44.000;0;0;0;0
20014000;BISCUIT SALTO 15 GM;SACHET;7.500;0;0;16;16
20014001;BISCUIT SALTO 15 GM;CARTON;52.000;0;0;2,29;2,29
20014100;BISCUIT SALTO 6 PM;PAQUET;3.700;0;0;67;67
20014101;BISCUIT SALTO 6 PM;CARTON;66.000;0;0;3,72;3,72
10014200;Biscuit smily creamz;SACHET;4.500;0;0;0;0
10014201;Biscuit smily creamz;CARTON;45.000;0;0;0;0
20014300;BISCUIT SUPER CHOCO;SACHET;0;0;0;0;0
20014400;BISCUIT SUPER COCO;SACHET;850;0;0;4;4
20014401;BISCUIT SUPER COCO;CARTON;36.000;0;0;0,10;0,10
10014500;BISCUIT SUPER KREAMO MIX 48PCS;PIECE;2.200;0;0;20;20
10014501;BISCUIT SUPER KREAMO MIX 48PCS;CARTON;105.600;0;0;0,42;0,42
20014600;BISCUIT SUPER MARIE BE;SACHET;7.000;0;0;1;1
20014601;BISCUIT SUPER MARIE BE;CARTON;70.000;0;0;0,10;0,10
20014700;BISCUIT SUPER MARIE NEW;SACHET;6.500;0;0;0;0
10014800;BISCUIT WAFER KISSKAT 14G;BOITE;13.500;0;0;4;4
10014900;BISCUIT XL 77;PCS;1.300;0;0;0;0
10014901;BISCUIT XL 77;CARTON;180.000;0;0;0;0
10014902;BISCUIT XL 77;BOITE;30.000;0;0;0;0
20015000;BISCUIT YUM YUM;PIECE;2.000;0;0;0;0
20015001;BISCUIT YUM YUM;CARTON;48.000;0;0;0;0
10015100;BiscuitCrunchyWafer 75g;PIECE;3.000;0;0;0;0
10015101;BiscuitCrunchyWafer 75g;CARTON;72.000;0;0;0;0
20015200;BISCUITS BOLO KIDS;SACHET;3.900;0;0;18;18
20015201;BISCUITS BOLO KIDS;CARTON;93.600;0;0;0,75;0,75
20015300;BISKY UP;SACHET;1.900;0;0;0;0
20015301;BISKY UP;CARTON;29.000;0;0;0;0
20015400;Black hair;PIECE;500;0;0;1;1
20015401;Black hair;BOITE;5.000;0;0;0,10;0,10
20015402;Black hair;CARTON;420.000;0;0;0,00;0,00
20015500;Black rose;PAQUET;3.900;0;0;37;37
20015501;Black rose;BOITE;30.000;0;0;3,70;3,70
20015600;Bledilait croissance n°3 900g;BOITE;59.000;0;0;0;0
20015700;Bledilait junior 800g;BOITE;49.500;0;0;0;0
20015800;BLEU D'AZUR (boite);BOITE;2.800;0;0;55;55
20015801;BLEU D'AZUR (boite);CARTON;67.000;0;0;2,29;2,29
20015900;BLEU D'AZUR EN SACHET;SACHET;1.500;0;0;0;0
20016000;BOISSON;PIECE;2.000;0;0;0;0
20016001;BOISSON;PAQUET;0;0;0;0;0
20016100;BOISSON BIG ANANAS GM;PIECE;5.500;0;0;0;0
20016101;BOISSON BIG ANANAS GM;PAQUET;29.000;0;0;0;0
20016200;BOISSON BIG COLA 2L;PIECE;5.000;0;0;0;0
20016201;BOISSON BIG COLA 2L;PAQUET;30.000;0;0;0;0
20016300;BOISSON BIG ORANGE GM;PIECE;5.000;0;0;0;0
20016301;BOISSON BIG ORANGE GM;PAQUET;29.000;0;0;0;0
20016400;BOISSON BIG PM ANANAS;PIECE;2.000;0;0;0;0
20016401;BOISSON BIG PM ANANAS;PAQUET;17.000;0;0;0;0
20016500;BOISSON BIG PM ORANGE;PAQUET;20.000;0;0;0;0
20016600;BOISSON DJINO COLA 125cl;PIECE;4.500;0;0;0;0
20016601;BOISSON DJINO COLA 125cl;PAQUET;25.000;0;0;0;0
20016700;BOISSON DJINO COLA 35CL;PAQUET;20.000;0;0;0;0
20016800;BOISSON DJINO limonade 35cl;PAQUET;20.000;0;0;0;0
20016900;BOISSON DJINO ORANGE 35 CL PM;PAQUET;20.000;0;0;0;0
20017000;BOISSON DJINO TROPICAL 125cl;PIECE;4.500;0;0;0;0
20017001;BOISSON DJINO TROPICAL 125cl;PAQUET;26.000;0;0;0;0
20017100;boisson gm 1.5 l;PIECE;5.000;0;0;0;0
20017101;boisson gm 1.5 l;PAQUET;28.000;0;0;0;0
110017200;Boisson gm en pieces;PIECE;5.000;0;0;0;0
110017300;Boisson mifangaro 1.5L;PACQUET;32.000;0;0;0;0
20017400;BOISSON moyenne 0.50 L;PIECE;2.000;0;0;0;0
20017401;BOISSON moyenne 0.50 L;PAQUET;23.000;0;0;0;0
20017500;BOISSON PM;PIECE;2.800;0;0;1;1
20017501;BOISSON PM;PAQUET;22.000;0;0;0,08;0,08
20017600;BOISSON PM 35 CL;PIECE;2.000;0;0;1;1
20017601;BOISSON PM 35 CL;PAQUET;19.500;0;0;0,08;0,08
110017700;BOISSON XXL 35 CL EN PIECE;PIECE;3.000;0;0;0;0
10017800;Bolo coeur;SACHET;1.200;0;0;88;88
10017801;Bolo coeur;CARTON;43.200;0;0;2,44;2,44
10017900;BOLO DONUT;SACHET;2.100;0;0;23;23
10017901;BOLO DONUT;CARTON;33.000;0;0;1,44;1,44
10018000;BOLO DUO;SACHET;2.800;0;0;0;0
10018001;BOLO DUO;CARTON;67.000;0;0;0;0
20018100;BOLO EN PIECE;PIECE;300;0;0;0;0
20018200;BOLO ZOOM;PAQUET;3.700;0;0;137;137
20018201;BOLO ZOOM;CARTON;88.000;0;0;5,71;5,71
80018300;BOMBON HOPPIN;BOCAL;17.000;0;0;0;0
80018400;BONBON AMBIC JAMMY FRUIT 100PCS;BOCAL;15.000;0;0;5;5
80018500;BONBON AMBIC KOFFITO BOCAL 205PCS;BOCAL;13.000;0;0;5;5
80018600;BONBON AMBIC KOFFITO EN SHT 100PCS;SACHET;5.500;0;0;5;5
50018700;BONBON ANGLAIS;PIECE;5.000;0;0;0;0
